eventID,DescriptionEN
RetrieveConfigurationParameterOverride,RetrieveConfigurationParameterOverride
RetrieveMessageDelegation,RetrieveMessageDelegation
RetrieveOrganisationUser,RetrieveOrganisationUser
RetrieveOrganisationUser,RetrieveOrganisationUser
RetrieveTimeseries,RetrieveTimeseries
RetrieveTimeseries,RetrieveTimeseries
RetrieveTimeSeriesData,RetrieveTimeSeriesData
RetrieveTimeSeriesData,RetrieveTimeSeriesData
RetrieveTimeseriesLogDist,RetrieveTimeseriesLogDist
RetrieveTimeseriesLogDist,RetrieveTimeseriesLogDist
RetrieveTimeseriesLogImp,RetrieveTimeseriesLogImp
RetrieveTimeseriesLogImp,RetrieveTimeseriesLogImp
RetrieveTimeseriesRequests,RetrieveTimeseriesRequests
RetrieveTimeseriesRequests,RetrieveTimeseriesRequests
RetrieveTimeseriesRespons,RetrieveTimeseriesRespons
RetrieveTimeseriesRespons,RetrieveTimeseriesRespons
RetriveCHN,View Channel
Search Accounting Point,Search Accounting Point
Search Accounting Point,Search Accounting Point
Search Bulk Processes,Search Bulk Processes
Search Bulk Processing,Search Bulk Processing
Search History,Search History
Search Metered Data Forwarding Option,Search Metered Data Forwarding Option
Search Metered Data Forwarding Option,Search Metered Data Forwarding Option
Search Reconciliation Runs,Search Reconciliation Runs
Search Settlement Data Forwarding Options,Search Settlement Data Forwarding Options
Search Settlement Data Forwarding Options,Search Settlement Data Forwarding Options
Search Settlement Global Parameters,Search Settlement Global Parameters
Search Settlement Runs,Search Settlement Runs
Search Settlement Runs,Search Settlement Runs
SearchAuditLog,SearchAuditLog
SearchAuditLogUnobfuscated,SearchAuditLogUnobfuscated
SearchMessageDelegationTemplates,SearchMessageDelegationTemplates
Settlement Data Forwarding options,Settlement Data Forwarding options
Settlement Data Forwarding options,Settlement Data Forwarding options
StepAccept,StepAccept
StepReject,StepReject
StepResend,StepResend
STS.SUB,Submit Settlement Time Series data
Submit Acknowledgement,Submit Acknowledgement
Submit Organisation Address,Submit Organisation Address
Submit Organisation Address,Submit Organisation Address
Submit Portal User Identity,Submit Portal User Identity
Submit Portal User Identity,Submit Portal User Identity
